rok,dziedzina,poczta,wojewodztwo,lng,lat
1999,grupa #08,Kowala,mazowieckie,21.110,51.314
1999,grupa #07,Lipnica,pomorskie,17.416,53.979
1999,grupa #07,Kraków,małopolskie,19.883,50.074
1999,grupa #08,Skierniewice,łódzkie,20.158,51.955
1999,grupa #06,Chełm,lubelskie,23.471,51.143
1999,grupa #04,Bydgoszcz,kujawsko-pomorskie,17.916,53.135
1999,grupa #05,Gdańsk,pomorskie,18.611,54.387
1999,grupa #03,Kraków,małopolskie,19.883,50.074
1999,grupa #01,Słocina,podkarpackie,22.054,50.018
1999,grupa #08,Radom,mazowieckie,21.147,51.403
1999,grupa #09,Gdańsk,pomorskie,18.611,54.387
1999,grupa #05,Gdańsk,pomorskie,18.611,54.387
1999,grupa #04,Warszawa,mazowieckie,20.952,52.273
1999,grupa #04,Kraków,małopolskie,19.883,50.074
1999,grupa #04,Warszawa,mazowieckie,20.952,52.273
1999,grupa #02,Lubartów,lubelskie,22.609,51.460
1999,grupa #03,Pionki,mazowieckie,21.450,51.476
1999,grupa #10,Poznań,wielkopolskie,16.925,52.433
1999,grupa #05,Chełm,lubelskie,23.471,51.143
1999,grupa #06,Rumia,pomorskie,18.388,54.571
1999,grupa #06,Tomaszów Maz.,łódzkie,20.009,51.531
1999,grupa #08,Jeżewo,kujawsko-pomorskie,18.352,53.521
1999,grupa #03,Gdynia,pomorskie,18.509,54.526
1999,grupa #06,Pawłowice,śląskie,18.674,49.965
1999,grupa #03,Kobyłka,mazowieckie,21.196,52.339
1999,grupa #05,Kraków,małopolskie,19.883,50.074
1999,grupa #07,Rusinowo,zachodniopomorskie,15.635,53.770
1999,grupa #07,Wrocław,dolnośląskie,17.002,51.085
1999,grupa #01,Warszawa,mazowieckie,21.180,52.190
1999,grupa #04,Nowy Sącz,małopolskie,20.715,49.617
1999,grupa #03,Łódź,łódzkie,19.456,51.759
1999,grupa #04,Częstochowa,śląskie,19.120,50.812
1999,grupa #04,Radom,mazowieckie,21.147,51.403
1999,grupa #05,Warszawa,mazowieckie,20.952,52.273
1999,grupa #06,Gdynia,pomorskie,18.509,54.526
1999,grupa #08,Kraków,małopolskie,19.883,50.074
1999,grupa #06,Zielona Góra,lubuskie,15.522,51.943
1999,grupa #04,Toruń,kujawsko-pomorskie,18.598,53.014
1999,grupa #04,Lublin,lubelskie,22.543,51.261
1999,grupa #04,Ostrołęka,mazowieckie,21.559,53.088
1999,grupa #07,Bydgoszcz,kujawsko-pomorskie,17.916,53.135
1999,grupa #05,Poznań,wielkopolskie,16.899,52.413
1999,grupa #06,Legnica,dolnośląskie,16.155,51.207
1999,grupa #03,Sosnowiec,śląskie,19.176,50.267
1999,grupa #02,Giżycko,warmińsko-mazurskie,21.767,54.036
1999,grupa #12,Pobiedziska,wielkopolskie,17.258,52.492
1999,grupa #01,Otrębusy,mazowieckie,20.765,52.135
1999,grupa #13,Wrocław,dolnośląskie,17.002,51.085
1999,grupa #08,Lębork,pomorskie,17.753,54.545
1999,grupa #04,Bielsko-Biała,śląskie,19.058,49.822
1999,grupa #07,Kraków,małopolskie,19.883,50.074
1999,grupa #07,Zabrze,śląskie,18.786,50.325
1999,grupa #07,Kalisz,wielkopolskie,18.085,51.767
1999,grupa #07,Wojcieszków,lubelskie,22.327,51.784
1999,grupa #02,Tuchola,kujawsko-pomorskie,17.860,53.588
1999,grupa #07,Jawor,dolnośląskie,16.186,51.055
1999,grupa #04,Szczytno,warmińsko-mazurskie,20.995,53.564
1999,grupa #03,Zielona Góra,lubuskie,15.522,51.943
1999,grupa #04,Bulkowo,mazowieckie,20.120,52.544
1999,grupa #02,Lublin,lubelskie,22.543,51.261
1999,grupa #04,Krzywe Koło,pomorskie,18.804,54.174
1999,grupa #08,Sosnowiec,śląskie,19.176,50.267
1999,grupa #02,Libiąż,małopolskie,19.330,50.110
1999,grupa #06,Lębork,pomorskie,17.753,54.545
1999,grupa #03,Rzeszów,podkarpackie,22.058,50.032
1999,grupa #08,Mielec,podkarpackie,21.424,50.287
1999,grupa #01,Warszawa,mazowieckie,21.180,52.190
1999,grupa #03,Włodawa,lubelskie,23.554,51.552
1999,grupa #04,Choszczno,zachodniopomorskie,15.388,53.196
1999,grupa #01,Krasnystaw,lubelskie,23.130,51.001
1999,grupa #02,Bydgoszcz,kujawsko-pomorskie,17.916,53.135
1999,grupa #08,Łowicz,łódzkie,19.945,52.107
1999,grupa #04,Lubin,dolnośląskie,16.194,51.404
1999,grupa #06,Sosnowiec,śląskie,19.176,50.267
1999,grupa #01,Warszawa,mazowieckie,21.180,52.190
1999,grupa #04,Gdańsk,pomorskie,18.611,54.387
1999,grupa #08,Sanok,podkarpackie,22.206,49.555
1999,grupa #11,Hrubieszów,lubelskie,23.891,50.805
1999,grupa #03,Puławy,lubelskie,21.969,51.416
1999,grupa #08,Wrocław,dolnośląskie,16.917,51.124
1999,grupa #04,Szczecin,zachodniopomorskie,14.590,53.469
1999,grupa #03,Kraków,małopolskie,19.883,50.074
1999,grupa #10,Katowice,śląskie,19.023,50.276
1999,grupa #04,Niepruszewo,wielkopolskie,16.605,52.386
1999,grupa #08,Stargard Gubiński,lubuskie,14.829,51.882
1999,grupa #12,Sędziszów Małopolski,podkarpackie,21.700,50.113
1999,grupa #03,Toruń,kujawsko-pomorskie,18.598,53.014
1999,grupa #04,Włocławek,kujawsko-pomorskie,19.068,52.648
1999,grupa #04,Wrocław,dolnośląskie,17.101,51.109
1999,grupa #02,Zabierzów,małopolskie,19.811,50.124
1999,grupa #02,Zabierzów,małopolskie,19.811,50.124
1999,grupa #08,Tarnów,małopolskie,20.986,50.012
1999,grupa #04,Bydgoszcz,kujawsko-pomorskie,17.916,53.135
1999,grupa #07,Szczecin,zachodniopomorskie,14.667,53.377
1999,grupa #07,Kraków,małopolskie,19.883,50.074
1999,grupa #04,Opole,opolskie,17.977,50.673
1999,grupa #03,Telatyn,lubelskie,23.849,50.529
1999,grupa #12,Pleszew,wielkopolskie,17.784,51.886
1999,grupa #01,Rumia,pomorskie,18.388,54.571
1999,grupa #08,Skierniewice,łódzkie,20.158,51.955
1999,grupa #05,Warszawa,mazowieckie,21.180,52.190
1999,grupa #04,Ryjewo,pomorskie,18.977,53.836
1999,grupa #04,Koluszki,łódzkie,19.865,51.749
1999,grupa #03,Chełm,lubelskie,23.471,51.143
1999,grupa #08,Łódź,łódzkie,19.452,51.801
1999,grupa #06,Piła,wielkopolskie,16.738,53.151
1999,grupa #07,Balice,małopolskie,19.794,50.090
1999,grupa #06,Wrocław,dolnośląskie,17.002,51.085
1999,grupa #07,Kraków,małopolskie,19.883,50.074
1999,grupa #07,Skawina,małopolskie,19.819,49.976
1999,grupa #01,Rzeszów,podkarpackie,22.058,50.032
1999,grupa #02,Warszawa,mazowieckie,20.952,52.273
1999,grupa #10,Katowice,śląskie,19.023,50.276
1999,grupa #02,Wrocław,dolnośląskie,17.101,51.109
1999,grupa #07,Bydgoszcz,kujawsko-pomorskie,17.916,53.135
1999,grupa #04,Knurów,śląskie,18.644,50.212
1999,grupa #08,Międzyrzecz,lubuskie,15.554,52.471
1999,grupa #01,Kraków,małopolskie,19.943,50.062
1999,grupa #01,Niegowić,małopolskie,20.222,49.928
1999,grupa #08,Police,zachodniopomorskie,14.559,53.510
1999,grupa #02,Ostrowiec Świetokrzyski,świętokrzyskie,21.385,50.930
1999,grupa #04,Minoga,małopolskie,19.899,50.240
1999,grupa #14,Kraków,małopolskie,19.883,50.074
1999,grupa #04,Wrocław,dolnośląskie,17.029,51.103
1999,grupa #05,Lublin,lubelskie,22.543,51.261
1999,grupa #06,Nowy Sącz,małopolskie,20.715,49.617
1999,grupa #08,Chorzów,śląskie,18.955,50.297
1999,grupa #01,Warszawa,mazowieckie,21.180,52.190
1999,grupa #01,Kraków,małopolskie,19.943,50.062
1999,grupa #08,Łódź,łódzkie,19.452,51.801
1999,grupa #02,Kraków,małopolskie,19.943,50.062
1999,grupa #04,Warszawa,mazowieckie,21.058,52.227
1999,grupa #07,Kraków,małopolskie,19.943,50.062
1999,grupa #07,Legnickie Pole,dolnośląskie,16.242,51.163
1999,grupa #04,Gdynia,pomorskie,18.509,54.526
1999,grupa #03,Szczecin,zachodniopomorskie,14.667,53.377
1999,grupa #01,Przecław,zachodniopomorskie,14.473,53.374
1999,grupa #13,Sztutowo,pomorskie,19.220,54.316
1999,grupa #05,Rzeszów,podkarpackie,22.058,50.032
1999,grupa #12,Ryglice,małopolskie,21.140,49.888
1999,grupa #10,Koszalin,zachodniopomorskie,16.226,54.187
1999,grupa #05,Warszawa,mazowieckie,21.180,52.190
1999,grupa #04,Warszawa,mazowieckie,21.180,52.190
1999,grupa #07,Poznań,wielkopolskie,16.925,52.433
1999,grupa #05,Gryfice,zachodniopomorskie,15.200,53.917
1999,grupa #07,Kochanowice,śląskie,18.706,50.729
1999,grupa #04,Hyżne,podkarpackie,22.164,49.923
1999,grupa #04,Gdynia,pomorskie,18.509,54.526
1999,grupa #08,Piła,wielkopolskie,16.738,53.151
1999,grupa #08,Łódź,łódzkie,19.456,51.759
1999,grupa #04,Płock,mazowieckie,19.707,52.546
1999,grupa #03,Ostrowite,kujawsko-pomorskie,19.248,53.051
1999,grupa #06,Wałbrzych,dolnośląskie,16.274,50.771
1999,grupa #06,Warszawa,mazowieckie,21.146,52.238
1999,grupa #06,Włodawa,lubelskie,23.554,51.552
1999,grupa #03,Piotrków Trybunalski,łódzkie,19.703,51.405
1999,grupa #07,Włodawa,lubelskie,23.554,51.552
1999,grupa #07,Kraków,małopolskie,19.943,50.062
1999,grupa #04,Wrocław,dolnośląskie,17.101,51.109
1999,grupa #07,Kraków,małopolskie,19.883,50.074
1999,grupa #09,Warszawa,mazowieckie,20.952,52.273
1999,grupa #02,Knyszyn,podlaskie,22.959,53.333
1999,grupa #04,Kraków,małopolskie,19.883,50.074
1999,grupa #05,Nowy Sącz,małopolskie,20.715,49.617
1999,grupa #07,Resko,zachodniopomorskie,15.476,53.805
1999,grupa #04,Rzeszów,podkarpackie,22.058,50.032
1999,grupa #04,Zielona Góra,lubuskie,15.522,51.943
1999,grupa #04,Katowice,śląskie,19.023,50.276
1999,grupa #07,Gdańsk,pomorskie,18.611,54.387
1999,grupa #04,Warszawa,mazowieckie,20.952,52.273
1999,grupa #02,Rzeszów,podkarpackie,22.058,50.032
1999,grupa #01,Czechowice-Dziedzice,śląskie,18.992,49.902
1999,grupa #01,Warszawa,mazowieckie,21.003,52.238
1999,grupa #06,Zduńska Wola,łódzkie,18.939,51.599
1999,grupa #04,Kraków,małopolskie,19.943,50.062
1999,grupa #04,Dubiecko,podkarpackie,22.382,49.805
1999,grupa #06,Leszno,wielkopolskie,16.594,51.842
1999,grupa #06,Łódź,łódzkie,19.452,51.801
1999,grupa #08,Dywity,warmińsko-mazurskie,20.488,53.894
1999,grupa #07,Koziegłowy,śląskie,19.164,50.577
1999,grupa #13,Poznań,wielkopolskie,16.925,52.433
1999,grupa #04,Gdańsk,pomorskie,18.611,54.387
1999,grupa #04,Warszawa,mazowieckie,21.180,52.190
1999,grupa #07,Reda,pomorskie,18.347,54.605
1999,grupa #06,Lasowice Wielkie,opolskie,18.165,50.866
1999,grupa #04,Bydgoszcz,kujawsko-pomorskie,17.916,53.135
1999,grupa #04,Wrocław,dolnośląskie,17.101,51.109
1999,grupa #07,Toruń,kujawsko-pomorskie,18.598,53.014
1999,grupa #06,Gdynia,pomorskie,18.509,54.526
1999,grupa #04,Susz,warmińsko-mazurskie,19.397,53.710
1999,grupa #03,Jabłonowo Pom.,kujawsko-pomorskie,19.186,53.397
1999,grupa #06,Kolbuszowa,podkarpackie,21.769,50.218
1999,grupa #04,Warszawa,mazowieckie,21.180,52.190
1999,grupa #04,Elbląg,warmińsko-mazurskie,19.404,54.156
1999,grupa #07,Łódź,łódzkie,19.472,51.772
1999,grupa #06,Szczecin,zachodniopomorskie,14.590,53.469
1999,grupa #03,Olsztyn,warmińsko-mazurskie,20.469,53.761
1999,grupa #04,Warszawa,mazowieckie,21.146,52.238
1999,grupa #08,Tarnów,małopolskie,20.986,50.012
1999,grupa #12,Zawiercie,śląskie,19.417,50.488
1999,grupa #02,Poznań,wielkopolskie,16.899,52.413
1999,grupa #08,Łódź,łódzkie,19.456,51.759
1999,grupa #08,Grudziądz,kujawsko-pomorskie,18.754,53.484
1999,grupa #12,Malbork,pomorskie,19.038,54.036
1999,grupa #02,Gdynia,pomorskie,18.509,54.526
1999,grupa #01,Ostrów Wlkp.,wielkopolskie,17.807,51.655
1999,grupa #04,Chojnice,pomorskie,17.557,53.694
1999,grupa #13,Gdańsk,pomorskie,18.611,54.387
1999,grupa #01,Niegowić,małopolskie,20.222,49.928
1999,grupa #04,Poznań,wielkopolskie,16.899,52.413
1999,grupa #07,Legnica,dolnośląskie,16.155,51.207
1999,grupa #06,Chojnów,dolnośląskie,15.920,51.251
1999,grupa #06,Szczecin,zachodniopomorskie,14.590,53.469
1999,grupa #04,Koszalin,zachodniopomorskie,16.226,54.187
1999,grupa #05,Jasło,podkarpackie,21.472,49.745
1999,grupa #03,Choszczno,zachodniopomorskie,15.388,53.196
1999,grupa #04,Giżycko,warmińsko-mazurskie,21.767,54.036
1999,grupa #02,Mielec,podkarpackie,21.424,50.287
1999,grupa #01,Gdańsk-Orunia,pomorskie,18.632,54.336
1999,grupa #02,Warszawa,mazowieckie,21.180,52.190
1999,grupa #07,Tomaszów Mazowiecki,łódzkie,20.009,51.531
1999,grupa #04,Warszawa,mazowieckie,21.180,52.190
1999,grupa #02,Siedlce,mazowieckie,22.305,52.156
1999,grupa #06,Radom,mazowieckie,21.147,51.403
1999,grupa #03,Tarnobrzeg,podkarpackie,21.679,50.573
1999,grupa #02,Wólka Kosowska,mazowieckie,20.857,52.050
1999,grupa #04,Pasym,warmińsko-mazurskie,20.783,53.648
1999,grupa #06,Gdańsk,pomorskie,18.611,54.387
1999,grupa #04,Wrocław,dolnośląskie,17.002,51.085
1999,grupa #06,Niechcice,łódzkie,19.585,51.271
1999,grupa #04,Józefów,mazowieckie,21.235,52.137
1999,grupa #02,Kraków,małopolskie,19.943,50.062
1999,grupa #04,Rzeszów,podkarpackie,22.058,50.032
1999,grupa #16,Białystok,podlaskie,23.144,53.112
1999,grupa #05,Łuków,lubelskie,22.383,51.927
1999,grupa #06,Częstochowa,śląskie,19.120,50.812
1999,grupa #10,Lubin,dolnośląskie,16.194,51.404
1999,grupa #01,Przemyśl,podkarpackie,22.768,49.784
1999,grupa #01,Siedlce,mazowieckie,22.305,52.156
1999,grupa #12,Włodawa,lubelskie,23.554,51.552
1999,grupa #08,Szymanów,mazowieckie,20.381,52.161
1999,grupa #07,Jeżewo,kujawsko-pomorskie,18.352,53.521
1999,grupa #04,Jawor,dolnośląskie,16.186,51.055
1999,grupa #04,Białe Błota,kujawsko-pomorskie,17.907,53.083
1999,grupa #12,Drogomyśl,śląskie,18.757,49.869
1999,grupa #01,Kraków,małopolskie,19.943,50.062
1999,grupa #02,Szczecin,zachodniopomorskie,14.590,53.469
1999,grupa #08,Częstochowa,śląskie,19.120,50.812
1999,grupa #03,Toruń,kujawsko-pomorskie,18.598,53.014
1999,grupa #04,Lublin,lubelskie,22.543,51.261
1999,grupa #01,Kraków,małopolskie,19.883,50.074
1999,grupa #12,Podgórzyn,dolnośląskie,15.674,50.829
1999,grupa #06,Sosnowiec,śląskie,19.176,50.267
1999,grupa #04,Bielsko-Biała,śląskie,19.058,49.822
1999,grupa #10,Oświęcim,małopolskie,19.210,50.034
1999,grupa #10,Wrocław,dolnośląskie,17.101,51.109
1999,grupa #04,Warszawa,mazowieckie,21.180,52.190
1999,grupa #06,Piła,wielkopolskie,16.738,53.151
1999,grupa #09,Zawadówka,lubelskie,23.338,51.128
1999,grupa #09,Kozienice,,21.486,51.611
1999,grupa #04,Wrocław,dolnośląskie,17.029,51.103
1999,grupa #12,Wołomin,mazowieckie,21.242,52.339
1999,grupa #01,Ligota,śląskie,18.957,49.880
1999,grupa #03,Lyski,śląskie,18.381,50.125
1999,grupa #01,Warszawa,mazowieckie,21.058,52.227
1999,grupa #04,Kluczbork,opolskie,18.218,50.972
1999,grupa #07,Kraków,małopolskie,19.943,50.062
1999,grupa #06,Nowy Sącz,małopolskie,20.715,49.617
1999,grupa #04,Warszawa,mazowieckie,20.952,52.273
1999,grupa #05,Wieruszów,łódzkie,18.168,51.314
1999,grupa #01,Byczyna,opolskie,18.246,51.117
1999,grupa #03,Częstochowa,śląskie,19.120,50.812
1999,grupa #06,Gdynia,pomorskie,18.509,54.526
1999,grupa #13,Sopot,pomorskie,18.508,54.442
1999,grupa #08,Kłaj,małopolskie,20.298,49.981
1999,grupa #02,Nowy Sącz,małopolskie,20.715,49.617
1999,grupa #04,Wasilków,podlaskie,23.208,53.199
1999,grupa #02,Jarocin,wielkopolskie,17.513,51.971
1999,grupa #08,Olsztyn,warmińsko-mazurskie,20.469,53.761
1999,grupa #04,Stalowa Wola,podkarpackie,22.054,50.583
1999,grupa #04,Kraków,małopolskie,19.943,50.062
1999,grupa #04,Poznań,wielkopolskie,16.899,52.413
1999,grupa #02,Kraków,małopolskie,19.883,50.074
1999,grupa #07,Warszawa,mazowieckie,21.058,52.227
1999,grupa #04,Toruń,kujawsko-pomorskie,18.598,53.014
1999,grupa #02,Bydgoszcz,kujawsko-pomorskie,17.916,53.135
1999,grupa #05,Kraków,małopolskie,19.883,50.074
1999,grupa #08,Szczecin,zachodniopomorskie,14.667,53.377
1999,grupa #02,Toruń,kujawsko-pomorskie,18.598,53.014
1999,grupa #07,Warszawa,mazowieckie,21.180,52.190
1999,grupa #04,Szczecin,zachodniopomorskie,14.590,53.469
1999,grupa #03,Opoczno,łódzkie,20.279,51.375
1999,grupa #02,Szczecin,zachodniopomorskie,14.590,53.469
1999,grupa #01,Katowice,śląskie,19.023,50.276
1999,grupa #06,Gdynia,pomorskie,18.509,54.526
1999,grupa #13,Mielec,podkarpackie,21.424,50.287
1999,grupa #07,Legnica,dolnośląskie,16.155,51.207
1999,grupa #01,Biecz,podkarpackie,21.252,49.738
1999,grupa #01,Kalisz,wielkopolskie,18.085,51.767
1999,grupa #06,Częstochowa,śląskie,19.120,50.812
1999,grupa #07,Sosnowiec,śląskie,19.176,50.267
1999,grupa #04,Kraków,małopolskie,19.943,50.062
1999,grupa #10,Warszawa,mazowieckie,21.058,52.227
1999,grupa #02,Zakopane,małopolskie,19.950,49.299
1999,grupa #08,Katowice,śląskie,19.023,50.276
1999,grupa #04,Płock,mazowieckie,19.707,52.546
1999,grupa #01,Piaseczno,mazowieckie,20.971,52.060
1999,grupa #07,Gdańsk,pomorskie,18.611,54.387
1999,grupa #12,Izabelin-Truskaw,mazowieckie,20.823,52.283
1999,grupa #03,Hajnówka,podlaskie,23.582,52.745
1999,grupa #06,Baczyna,lubuskie,15.094,52.762
1999,grupa #02,Gdynia,pomorskie,18.509,54.526
1999,grupa #04,Warszawa,mazowieckie,21.146,52.238
1999,grupa #04,Zamość,lubelskie,23.252,50.723
1999,grupa #07,Kraków,małopolskie,19.943,50.062
1999,grupa #04,Sieradz,łódzkie,18.730,51.596
1999,grupa #01,Olsztyn,warmińsko-mazurskie,20.469,53.761
1999,grupa #14,Gdynia,pomorskie,18.509,54.526
1999,grupa #07,Piaseczno,mazowieckie,20.971,52.060
1999,grupa #04,Gliwice,śląskie,18.671,50.294
1999,grupa #06,Łódź,łódzkie,19.456,51.759
1999,grupa #06,Radom,mazowieckie,21.147,51.403
1999,grupa #04,Warszawa,mazowieckie,21.180,52.190
1999,grupa #07,Olsztyn,warmińsko-mazurskie,20.469,53.761
1999,grupa #05,Kraków,małopolskie,19.943,50.062
1999,grupa #05,Przemyśl,podkarpackie,22.768,49.784
1999,grupa #11,Radom,mazowieckie,21.147,51.403
1999,grupa #08,Chełm,lubelskie,23.471,51.143
1999,grupa #05,Kraszewice,wielkopolskie,18.249,51.507
1999,grupa #04,Wołomin,mazowieckie,21.242,52.339
1999,grupa #04,Kowalewo Pomorskie,kujawsko-pomorskie,18.928,53.160
1999,grupa #01,Warszawa,mazowieckie,21.180,52.190
1999,grupa #06,Krosno,podkarpackie,21.766,49.682
1999,grupa #03,Warszawa,mazowieckie,21.058,52.227
1999,grupa #04,Warszawa,mazowieckie,21.058,52.227
1999,grupa #04,Chorzów,śląskie,18.955,50.297
1999,grupa #04,Kęty,małopolskie,19.221,49.878
1999,grupa #08,Lubawa,warmińsko-mazurskie,19.811,53.504
1999,grupa #07,Jawor,dolnośląskie,16.186,51.055
1999,grupa #07,Łódź,łódzkie,19.452,51.801
1999,grupa #04,Siedlce,mazowieckie,22.305,52.156
2000,grupa #07,Olsztyn,warmińsko-mazurskie,20.469,53.761
2000,grupa #12,Izabelin-Truskaw,mazowieckie,20.823,52.283
2000,grupa #02,Legnica,dolnośląskie,16.155,51.207
2000,grupa #01,Otrębusy,mazowieckie,20.765,52.135
2000,grupa #07,Kraków,małopolskie,19.883,50.074
2000,grupa #13,Sztutowo,pomorskie,19.220,54.316
2000,grupa #03,Choszczno,zachodniopomorskie,15.388,53.196
2000,grupa #07,Leszno,wielkopolskie,16.594,51.842
2000,grupa #03,Jabłonowo Pom.,kujawsko-pomorskie,19.186,53.397
2000,grupa #04,Wrocław,dolnośląskie,17.101,51.109
2000,grupa #06,Lasowice Wielkie,opolskie,18.165,50.866
2000,grupa #04,Warszawa,mazowieckie,21.180,52.190
2000,grupa #06,Złotoryja,dolnośląskie,15.921,51.126
2000,grupa #04,Sieradz,łódzkie,18.730,51.596
2000,grupa #07,Rusinowo,zachodniopomorskie,15.635,53.770
2000,grupa #02,Poznań,wielkopolskie,16.899,52.413
2000,grupa #04,Kraków,małopolskie,19.883,50.074
2000,grupa #06,Chełm,lubelskie,23.471,51.143
2000,grupa #06,Kraków,małopolskie,19.883,50.074
2000,grupa #03,Olsztyn,warmińsko-mazurskie,20.469,53.761
2000,grupa #04,Kraków,małopolskie,19.883,50.074
2000,grupa #08,Tarnów,małopolskie,20.986,50.012
2000,grupa #07,Kalisz,wielkopolskie,18.085,51.767
2000,grupa #07,Łódź,łódzkie,19.472,51.772
2000,grupa #07,Kraków,małopolskie,19.943,50.062
2000,grupa #02,Katowice,śląskie,19.023,50.276
2000,grupa #06,Rumia,pomorskie,18.388,54.571
2000,grupa #12,Malbork,pomorskie,19.038,54.036
2000,grupa #13,Łódź,łódzkie,19.452,51.801
2000,grupa #10,Wrocław,dolnośląskie,17.029,51.103
2000,grupa #02,Gdynia,pomorskie,18.509,54.526
2000,grupa #06,Skoczów,śląskie,18.807,49.816
2000,grupa #01,Warszawa,mazowieckie,21.180,52.190
2000,grupa #02,Tarnów,małopolskie,20.986,50.012
2000,grupa #04,Warszawa,mazowieckie,21.058,52.227
2000,grupa #03,Żyrardów,mazowieckie,20.446,52.049
2000,grupa #06,Radom,mazowieckie,21.147,51.403
2000,grupa #02,Ostrowiec Św.,świętokrzyskie,21.385,50.930
2000,grupa #03,Kolbuszowa,podkarpackie,21.769,50.218
2000,grupa #06,Szczecin,zachodniopomorskie,14.590,53.469
2000,grupa #03,Horyniec-Zdrój,podkarpackie,23.348,50.199
2000,grupa #03,Giżycko,warmińsko-mazurskie,21.767,54.036
2000,grupa #07,Reda,pomorskie,18.347,54.605
2000,grupa #07,Sosnowiec,śląskie,19.176,50.267
2000,grupa #04,Szczecin,zachodniopomorskie,14.590,53.469
2000,grupa #03,Suwałki,podlaskie,22.931,54.112
2000,grupa #08,Trzcianka,wielkopolskie,16.483,53.046
2000,grupa #05,Mściwojów,dolnośląskie,16.261,51.064
2000,grupa #12,Krosno,podkarpackie,21.766,49.682
2000,grupa #01,Nowy Sącz,małopolskie,20.715,49.617
2000,grupa #03,Skarżysko-Kamienna,świętokrzyskie,20.875,51.112
2000,grupa #03,Kraków,małopolskie,19.883,50.074
2000,grupa #08,Gniew,pomorskie,18.796,53.854
2000,grupa #05,Poznań,wielkopolskie,16.925,52.433
2000,grupa #02,Lubartów,lubelskie,22.609,51.460
2000,grupa #10,Warszawa,mazowieckie,21.058,52.227
2000,grupa #10,Wrocław,dolnośląskie,17.101,51.109
2000,grupa #10,Poznań,wielkopolskie,16.899,52.413
2000,grupa #04,Mielec,podkarpackie,21.424,50.287
2000,grupa #06,Kraków,małopolskie,19.943,50.062
2000,grupa #10,Łódź,łódzkie,19.452,51.801
2000,grupa #06,Kraków,małopolskie,19.883,50.074
